Place;Date;Time;Value;Unit;Value;Unit;Value;Unit;Value;Unit;Value;Unit;Value;Unit
1;17/05/2006;09:34:17;29.5;WBGT Temp C;34.3;%RH C      ;38.3;TA Temp C  ;40.6;TG Temp C  ;24.8;WET Temp C ;19.7;DP Temp C  
2;17/05/2006;09:35:17;29.7;WBGT Temp C;33.9;%RH C      ;38.5;TA Temp C  ;41.1;TG Temp C  ;24.9;WET Temp C ;19.7;DP Temp C  
3;17/05/2006;09:36:17;29.7;WBGT Temp C;33.6;%RH C      ;38.5;TA Temp C  ;41.3;TG Temp C  ;24.7;WET Temp C ;19.5;DP Temp C  
4;17/05/2006;09:37:17;29.8;WBGT Temp C;33.8;%RH C      ;38.5;TA Temp C  ;41.4;TG Temp C  ;24.9;WET Temp C ;19.8;DP Temp C  
5;17/05/2006;09:38:17;29.9;WBGT Temp C;33.5;%RH C      ;38.8;TA Temp C  ;41.4;TG Temp C  ;25.1;WET Temp C ;19.9;DP Temp C  
6;17/05/2006;09:39:17;29.8;WBGT Temp C;33.3;%RH C      ;38.8;TA Temp C  ;41.3;TG Temp C  ;25;WET Temp C ;19.8;DP Temp C  
7;17/05/2006;09:40:17;29.8;WBGT Temp C;33.5;%RH C      ;38.8;TA Temp C  ;41.2;TG Temp C  ;25;WET Temp C ;19.8;DP Temp C  
8;17/05/2006;09:41:17;29.8;WBGT Temp C;33.1;%RH C      ;38.9;TA Temp C  ;41.3;TG Temp C  ;25;WET Temp C ;19.7;DP Temp C  
9;17/05/2006;09:42:17;30;WBGT Temp C;33.4;%RH C      ;39.1;TA Temp C  ;41.5;TG Temp C  ;25.2;WET Temp C ;20;DP Temp C  
10;17/05/2006;09:43:17;29.9;WBGT Temp C;33.6;%RH C      ;38.8;TA Temp C  ;41.4;TG Temp C  ;25;WET Temp C ;19.9;DP Temp C  
11;17/05/2006;09:44:17;29.7;WBGT Temp C;33.6;%RH C      ;38.4;TA Temp C  ;41.4;TG Temp C  ;24.7;WET Temp C ;19.5;DP Temp C  
12;17/05/2006;09:45:17;29.6;WBGT Temp C;33.9;%RH C      ;38.2;TA Temp C  ;41.2;TG Temp C  ;24.7;WET Temp C ;19.5;DP Temp C  
13;17/05/2006;09:46:17;29.8;WBGT Temp C;33.4;%RH C      ;38.8;TA Temp C  ;41.3;TG Temp C  ;25;WET Temp C ;19.8;DP Temp C  
14;17/05/2006;09:47:17;29.9;WBGT Temp C;32.8;%RH C      ;39.2;TA Temp C  ;41.4;TG Temp C  ;25.1;WET Temp C ;19.8;DP Temp C  
15;17/05/2006;09:48:17;30;WBGT Temp C;31.7;%RH C      ;39.6;TA Temp C  ;41.3;TG Temp C  ;25.2;WET Temp C ;19.7;DP Temp C  
16;17/05/2006;09:49:17;30.2;WBGT Temp C;31.5;%RH C      ;40;TA Temp C  ;41.4;TG Temp C  ;25.4;WET Temp C ;19.9;DP Temp C  
17;17/05/2006;09:50:17;30.1;WBGT Temp C;31.1;%RH C      ;40;TA Temp C  ;41.7;TG Temp C  ;25.2;WET Temp C ;19.6;DP Temp C  
18;17/05/2006;09:51:17;29.9;WBGT Temp C;31.6;%RH C      ;39.7;TA Temp C  ;41.3;TG Temp C  ;25.1;WET Temp C ;19.6;DP Temp C  
19;17/05/2006;09:52:17;30;WBGT Temp C;32.5;%RH C      ;39.5;TA Temp C  ;41.2;TG Temp C  ;25.2;WET Temp C ;19.9;DP Temp C  
20;17/05/2006;09:53:17;30;WBGT Temp C;31.9;%RH C      ;39.5;TA Temp C  ;41.7;TG Temp C  ;24.9;WET Temp C ;19.4;DP Temp C  
21;17/05/2006;09:54:17;30.2;WBGT Temp C;31.9;%RH C      ;39.8;TA Temp C  ;41.9;TG Temp C  ;25.3;WET Temp C ;19.9;DP Temp C  
22;17/05/2006;09:55:17;30.3;WBGT Temp C;32.2;%RH C      ;39.3;TA Temp C  ;42.2;TG Temp C  ;25.2;WET Temp C ;19.8;DP Temp C  
23;17/05/2006;09:56:17;30.4;WBGT Temp C;31.4;%RH C      ;39.8;TA Temp C  ;42.9;TG Temp C  ;25.1;WET Temp C ;19.6;DP Temp C  
24;17/05/2006;09:57:17;30;WBGT Temp C;32.9;%RH C      ;38.5;TA Temp C  ;42.4;TG Temp C  ;24.7;WET Temp C ;19.3;DP Temp C  
25;17/05/2006;09:58:17;29.7;WBGT Temp C;33.5;%RH C      ;38.2;TA Temp C  ;41.9;TG Temp C  ;24.6;WET Temp C ;19.3;DP Temp C  
26;17/05/2006;09:59:17;29.7;WBGT Temp C;32.9;%RH C      ;38.6;TA Temp C  ;41.5;TG Temp C  ;24.7;WET Temp C ;19.3;DP Temp C  
27;17/05/2006;10:00:17;29.8;WBGT Temp C;32.4;%RH C      ;38.9;TA Temp C  ;41.7;TG Temp C  ;24.7;WET Temp C ;19.3;DP Temp C  
28;17/05/2006;10:01:17;30;WBGT Temp C;32.6;%RH C      ;39.2;TA Temp C  ;41.6;TG Temp C  ;25.1;WET Temp C ;19.7;DP Temp C  
29;17/05/2006;10:02:17;30.1;WBGT Temp C;31;%RH C      ;39.9;TA Temp C  ;41.9;TG Temp C  ;25.1;WET Temp C ;19.5;DP Temp C  
30;17/05/2006;10:03:17;29.8;WBGT Temp C;31.6;%RH C      ;39.2;TA Temp C  ;41.9;TG Temp C  ;24.8;WET Temp C ;19.2;DP Temp C  
31;17/05/2006;10:04:17;29.9;WBGT Temp C;32.3;%RH C      ;39;TA Temp C  ;41.8;TG Temp C  ;25;WET Temp C ;19.6;DP Temp C  
32;17/05/2006;10:05:17;30.5;WBGT Temp C;30.2;%RH C      ;40.6;TA Temp C  ;42.5;TG Temp C  ;25.4;WET Temp C ;19.7;DP Temp C  
33;17/05/2006;10:06:17;30.5;WBGT Temp C;30.4;%RH C      ;40.3;TA Temp C  ;42.7;TG Temp C  ;25.3;WET Temp C ;19.6;DP Temp C  
34;17/05/2006;10:07:17;30.4;WBGT Temp C;30;%RH C      ;40.6;TA Temp C  ;42.4;TG Temp C  ;25.3;WET Temp C ;19.6;DP Temp C  
35;17/05/2006;10:08:17;30.3;WBGT Temp C;29.7;%RH C      ;40.6;TA Temp C  ;42.2;TG Temp C  ;25.3;WET Temp C ;19.5;DP Temp C  
