Place;Date;Time;Value;Unit;Value;Unit;Value;Unit;Value;Unit;Value;Unit;Value;Unit
1;17/05/2010;10:29:03;28.6;WBGT Temp C;34.5;%RH C      ;37.1;TA Temp C  ;39.3;TG Temp C  ;24.1;WET Temp C ;18.9;DP Temp C  
2;17/05/2010;10:30:03;28.6;WBGT Temp C;33.9;%RH C      ;37.4;TA Temp C  ;39.4;TG Temp C  ;24.1;WET Temp C ;18.8;DP Temp C  
3;17/05/2010;10:31:03;28.6;WBGT Temp C;33.9;%RH C      ;37.4;TA Temp C  ;39.4;TG Temp C  ;24.1;WET Temp C ;18.8;DP Temp C  
4;17/05/2010;10:32:03;28.6;WBGT Temp C;33.6;%RH C      ;37.5;TA Temp C  ;39.3;TG Temp C  ;24.1;WET Temp C ;18.8;DP Temp C  
5;17/05/2010;10:33:03;28.5;WBGT Temp C;33.7;%RH C      ;37.4;TA Temp C  ;39.1;TG Temp C  ;24.1;WET Temp C ;18.8;DP Temp C  
6;17/05/2010;10:34:03;28.7;WBGT Temp C;33.1;%RH C      ;37.7;TA Temp C  ;39.2;TG Temp C  ;24.2;WET Temp C ;18.7;DP Temp C  
7;17/05/2010;10:35:03;28.6;WBGT Temp C;32.5;%RH C      ;38;TA Temp C  ;39.1;TG Temp C  ;24.2;WET Temp C ;18.6;DP Temp C  
8;17/05/2010;10:36:03;28.6;WBGT Temp C;33.4;%RH C      ;37.7;TA Temp C  ;39.1;TG Temp C  ;24.2;WET Temp C ;18.8;DP Temp C  
9;17/05/2010;10:37:03;28.2;WBGT Temp C;34;%RH C      ;36.9;TA Temp C  ;39;TG Temp C  ;23.7;WET Temp C ;18.4;DP Temp C  
10;17/05/2010;10:38:03;28.4;WBGT Temp C;33.8;%RH C      ;37.2;TA Temp C  ;39.1;TG Temp C  ;23.9;WET Temp C ;18.6;DP Temp C  
11;17/05/2010;10:39:03;28.5;WBGT Temp C;33.7;%RH C      ;37.3;TA Temp C  ;39.3;TG Temp C  ;23.9;WET Temp C ;18.6;DP Temp C  
