Place;Date;Time;Value;Unit;Value;Unit;Value;Unit;Value;Unit;Value;Unit;Value;Unit
1;19/05/2001;09:12:44;27.6;WBGT Temp C;39.3;%RH C      ;34.5;TA Temp C  ;40;TG Temp C  ;23.2;WET Temp C ;18.6;DP Temp C  
2;19/05/2001;09:13:44;28.1;WBGT Temp C;37.3;%RH C      ;35.5;TA Temp C  ;40.5;TG Temp C  ;23.6;WET Temp C ;18.7;DP Temp C  
3;19/05/2001;09:14:44;28.2;WBGT Temp C;36.6;%RH C      ;35.9;TA Temp C  ;40.5;TG Temp C  ;23.7;WET Temp C ;18.8;DP Temp C  
4;19/05/2001;09:15:44;28.4;WBGT Temp C;35.5;%RH C      ;36.4;TA Temp C  ;41.2;TG Temp C  ;23.7;WET Temp C ;18.6;DP Temp C  
5;19/05/2001;09:16:44;28.6;WBGT Temp C;35;%RH C      ;36.7;TA Temp C  ;41.1;TG Temp C  ;23.9;WET Temp C ;18.8;DP Temp C  
6;19/05/2001;09:17:44;28.6;WBGT Temp C;33.9;%RH C      ;37;TA Temp C  ;41.4;TG Temp C  ;23.8;WET Temp C ;18.4;DP Temp C  
7;19/05/2001;09:18:44;28.6;WBGT Temp C;33;%RH C      ;37.4;TA Temp C  ;41.4;TG Temp C  ;23.8;WET Temp C ;18.3;DP Temp C  
8;19/05/2001;09:19:44;28.5;WBGT Temp C;32.6;%RH C      ;37.3;TA Temp C  ;41.3;TG Temp C  ;23.7;WET Temp C ;18.1;DP Temp C  
9;19/05/2001;09:20:44;28.8;WBGT Temp C;32.4;%RH C      ;37.8;TA Temp C  ;41.4;TG Temp C  ;24;WET Temp C ;18.5;DP Temp C  
10;19/05/2001;09:21:44;28.9;WBGT Temp C;31.1;%RH C      ;38.2;TA Temp C  ;41.9;TG Temp C  ;23.9;WET Temp C ;18.1;DP Temp C  
11;19/05/2001;09:22:44;29;WBGT Temp C;30.8;%RH C      ;38.4;TA Temp C  ;41.9;TG Temp C  ;24;WET Temp C ;18.1;DP Temp C  
12;19/05/2001;09:23:44;28.6;WBGT Temp C;31.2;%RH C      ;37.8;TA Temp C  ;41.5;TG Temp C  ;23.6;WET Temp C ;17.8;DP Temp C  
13;19/05/2001;09:24:44;28.4;WBGT Temp C;31.1;%RH C      ;37.8;TA Temp C  ;41.2;TG Temp C  ;23.5;WET Temp C ;17.7;DP Temp C  
14;19/05/2001;09:25:44;29;WBGT Temp C;30;%RH C      ;38.8;TA Temp C  ;41.5;TG Temp C  ;24.1;WET Temp C ;18.1;DP Temp C  
15;19/05/2001;09:26:44;29.1;WBGT Temp C;29.5;%RH C      ;38.9;TA Temp C  ;42.1;TG Temp C  ;24;WET Temp C ;17.9;DP Temp C  
16;19/05/2001;09:27:44;29;WBGT Temp C;29.2;%RH C      ;38.9;TA Temp C  ;42.1;TG Temp C  ;23.9;WET Temp C ;17.7;DP Temp C  
17;19/05/2001;09:28:44;29;WBGT Temp C;29.7;%RH C      ;38.8;TA Temp C  ;41.8;TG Temp C  ;24;WET Temp C ;18;DP Temp C  
18;19/05/2001;09:29:44;29.3;WBGT Temp C;28.7;%RH C      ;39.5;TA Temp C  ;42;TG Temp C  ;24.2;WET Temp C ;18;DP Temp C  
19;19/05/2001;09:30:44;29.5;WBGT Temp C;29;%RH C      ;39.5;TA Temp C  ;42.5;TG Temp C  ;24.4;WET Temp C ;18.3;DP Temp C  
20;19/05/2001;09:31:44;29.9;WBGT Temp C;27.1;%RH C      ;40.7;TA Temp C  ;43.5;TG Temp C  ;24.6;WET Temp C ;18.1;DP Temp C  
21;19/05/2001;09:32:44;29.3;WBGT Temp C;28.3;%RH C      ;39.5;TA Temp C  ;43.1;TG Temp C  ;24;WET Temp C ;17.7;DP Temp C  
22;19/05/2001;09:33:44;29.3;WBGT Temp C;28.6;%RH C      ;39.5;TA Temp C  ;42.4;TG Temp C  ;24.1;WET Temp C ;17.9;DP Temp C  
23;19/05/2001;09:34:44;29.5;WBGT Temp C;28.3;%RH C      ;39.9;TA Temp C  ;42.3;TG Temp C  ;24.3;WET Temp C ;18;DP Temp C  
24;19/05/2001;09:35:44;29.4;WBGT Temp C;27.8;%RH C      ;40;TA Temp C  ;42.4;TG Temp C  ;24.2;WET Temp C ;17.8;DP Temp C  
25;19/05/2001;09:36:44;29.4;WBGT Temp C;28.2;%RH C      ;39.7;TA Temp C  ;42.5;TG Temp C  ;24.2;WET Temp C ;17.9;DP Temp C  
26;19/05/2001;09:37:44;29.3;WBGT Temp C;28.2;%RH C      ;39.7;TA Temp C  ;42.3;TG Temp C  ;24.2;WET Temp C ;17.9;DP Temp C  
27;19/05/2001;09:38:44;29.1;WBGT Temp C;28.1;%RH C      ;39.6;TA Temp C  ;42.5;TG Temp C  ;23.9;WET Temp C ;17.5;DP Temp C  
28;19/05/2001;09:39:44;29.7;WBGT Temp C;27.5;%RH C      ;40.4;TA Temp C  ;42.9;TG Temp C  ;24.5;WET Temp C ;18.1;DP Temp C  
29;19/05/2001;09:40:44;29.5;WBGT Temp C;26.7;%RH C      ;40.6;TA Temp C  ;43;TG Temp C  ;24.2;WET Temp C ;17.6;DP Temp C  
30;19/05/2001;09:41:44;29.9;WBGT Temp C;26;%RH C      ;41.2;TA Temp C  ;43.5;TG Temp C  ;24.5;WET Temp C ;17.8;DP Temp C  
31;19/05/2001;09:42:44;30;WBGT Temp C;25.2;%RH C      ;41.6;TA Temp C  ;43.8;TG Temp C  ;24.5;WET Temp C ;17.6;DP Temp C  
32;19/05/2001;09:43:44;30.1;WBGT Temp C;25;%RH C      ;41.6;TA Temp C  ;44;TG Temp C  ;24.5;WET Temp C ;17.5;DP Temp C  
33;19/05/2001;09:44:44;29.8;WBGT Temp C;26.8;%RH C      ;40.5;TA Temp C  ;43.7;TG Temp C  ;24.3;WET Temp C ;17.7;DP Temp C  
34;19/05/2001;09:45:44;29.6;WBGT Temp C;28;%RH C      ;39.9;TA Temp C  ;43.3;TG Temp C  ;24.3;WET Temp C ;18;DP Temp C  
35;19/05/2001;09:46:44;29.7;WBGT Temp C;27.6;%RH C      ;40.2;TA Temp C  ;43.4;TG Temp C  ;24.3;WET Temp C ;17.9;DP Temp C  
36;19/05/2001;09:47:44;30.4;WBGT Temp C;25.3;%RH C      ;42.1;TA Temp C  ;44.2;TG Temp C  ;24.9;WET Temp C ;18.1;DP Temp C  
37;19/05/2001;09:48:44;30.2;WBGT Temp C;25.3;%RH C      ;41.6;TA Temp C  ;44.2;TG Temp C  ;24.6;WET Temp C ;17.7;DP Temp C  
38;19/05/2001;09:49:44;30.3;WBGT Temp C;24.5;%RH C      ;42.1;TA Temp C  ;44.6;TG Temp C  ;24.6;WET Temp C ;17.6;DP Temp C  
39;19/05/2001;09:50:44;30.5;WBGT Temp C;24.4;%RH C      ;42.2;TA Temp C  ;45.2;TG Temp C  ;24.7;WET Temp C ;17.6;DP Temp C  
40;19/05/2001;09:51:44;30.3;WBGT Temp C;25.2;%RH C      ;41.5;TA Temp C  ;45;TG Temp C  ;24.5;WET Temp C ;17.6;DP Temp C  
41;19/05/2001;09:52:44;30.2;WBGT Temp C;24.4;%RH C      ;41.9;TA Temp C  ;44.4;TG Temp C  ;24.5;WET Temp C ;17.4;DP Temp C  
42;19/05/2001;09:53:44;30.1;WBGT Temp C;24.9;%RH C      ;41.6;TA Temp C  ;44.2;TG Temp C  ;24.4;WET Temp C ;17.4;DP Temp C  
43;19/05/2001;09:54:44;30.2;WBGT Temp C;24.5;%RH C      ;41.8;TA Temp C  ;44.8;TG Temp C  ;24.4;WET Temp C ;17.4;DP Temp C  
44;19/05/2001;09:55:44;30.4;WBGT Temp C;23.7;%RH C      ;42.3;TA Temp C  ;45;TG Temp C  ;24.6;WET Temp C ;17.3;DP Temp C  
45;19/05/2001;09:56:44;30.4;WBGT Temp C;23.3;%RH C      ;42.6;TA Temp C  ;44.7;TG Temp C  ;24.6;WET Temp C ;17.2;DP Temp C  
46;19/05/2001;09:57:44;30.3;WBGT Temp C;23;%RH C      ;42.7;TA Temp C  ;44.5;TG Temp C  ;24.5;WET Temp C ;17.1;DP Temp C  
47;19/05/2001;09:58:44;30.3;WBGT Temp C;22.9;%RH C      ;42.7;TA Temp C  ;44.4;TG Temp C  ;24.6;WET Temp C ;17.1;DP Temp C  
48;19/05/2001;09:59:44;30.5;WBGT Temp C;22.2;%RH C      ;43.2;TA Temp C  ;44.8;TG Temp C  ;24.6;WET Temp C ;17;DP Temp C  
49;19/05/2001;10:00:44;30.2;WBGT Temp C;22.8;%RH C      ;42.5;TA Temp C  ;44.8;TG Temp C  ;24.3;WET Temp C ;16.7;DP Temp C  
50;19/05/2001;10:01:44;30.6;WBGT Temp C;22.5;%RH C      ;43.2;TA Temp C  ;45;TG Temp C  ;24.8;WET Temp C ;17.2;DP Temp C  
51;19/05/2001;10:02:44;30.4;WBGT Temp C;22.7;%RH C      ;42.7;TA Temp C  ;45.5;TG Temp C  ;24.4;WET Temp C ;16.9;DP Temp C  
52;19/05/2001;10:03:44;30.9;WBGT Temp C;21.5;%RH C      ;43.9;TA Temp C  ;45.7;TG Temp C  ;24.9;WET Temp C ;17.1;DP Temp C  
53;19/05/2001;10:04:44;31.5;WBGT Temp C;20.7;%RH C      ;45;TA Temp C  ;46.6;TG Temp C  ;25.3;WET Temp C ;17.4;DP Temp C  
54;19/05/2001;10:05:44;30.9;WBGT Temp C;22.8;%RH C      ;43;TA Temp C  ;47;TG Temp C  ;24.7;WET Temp C ;17.2;DP Temp C  
55;19/05/2001;10:06:44;31.2;WBGT Temp C;21.5;%RH C      ;44.2;TA Temp C  ;46.7;TG Temp C  ;25;WET Temp C ;17.3;DP Temp C  
56;19/05/2001;10:07:44;30.3;WBGT Temp C;24.5;%RH C      ;41.3;TA Temp C  ;46.9;TG Temp C  ;24;WET Temp C ;16.9;DP Temp C  
57;19/05/2001;10:08:44;31.5;WBGT Temp C;21.1;%RH C      ;44.5;TA Temp C  ;47.4;TG Temp C  ;25.2;WET Temp C ;17.4;DP Temp C  
58;19/05/2001;10:09:44;32.1;WBGT Temp C;19.6;%RH C      ;46.2;TA Temp C  ;48.4;TG Temp C  ;25.5;WET Temp C ;17.3;DP Temp C  
59;19/05/2001;10:10:44;31.8;WBGT Temp C;19.7;%RH C      ;45.5;TA Temp C  ;48.5;TG Temp C  ;25.1;WET Temp C ;16.9;DP Temp C  
60;19/05/2001;10:11:44;32.3;WBGT Temp C;20.2;%RH C      ;45.9;TA Temp C  ;48.6;TG Temp C  ;25.7;WET Temp C ;17.7;DP Temp C  
61;19/05/2001;10:12:44;31.8;WBGT Temp C;20.6;%RH C      ;45.1;TA Temp C  ;48;TG Temp C  ;25.3;WET Temp C ;17.4;DP Temp C  
62;19/05/2001;10:13:44;31.6;WBGT Temp C;20.5;%RH C      ;45;TA Temp C  ;47.3;TG Temp C  ;25.2;WET Temp C ;17.2;DP Temp C  
63;19/05/2001;10:14:44;31.3;WBGT Temp C;20.7;%RH C      ;44.5;TA Temp C  ;47.9;TG Temp C  ;24.8;WET Temp C ;16.8;DP Temp C  
64;19/05/2001;10:15:44;30.8;WBGT Temp C;23.5;%RH C      ;42;TA Temp C  ;48.7;TG Temp C  ;24.2;WET Temp C ;16.9;DP Temp C  
65;19/05/2001;10:16:44;31.3;WBGT Temp C;23.8;%RH C      ;42.2;TA Temp C  ;49.5;TG Temp C  ;24.6;WET Temp C ;17.4;DP Temp C  
66;19/05/2001;10:17:44;32.3;WBGT Temp C;20.4;%RH C      ;45.4;TA Temp C  ;50.3;TG Temp C  ;25.4;WET Temp C ;17.5;DP Temp C  
67;19/05/2001;10:18:44;32.5;WBGT Temp C;18.8;%RH C      ;46.5;TA Temp C  ;50.4;TG Temp C  ;25.4;WET Temp C ;17;DP Temp C  
68;19/05/2001;10:19:44;32.5;WBGT Temp C;18.4;%RH C      ;47;TA Temp C  ;49.8;TG Temp C  ;25.6;WET Temp C ;17.1;DP Temp C  
69;19/05/2001;10:20:44;32.1;WBGT Temp C;18.3;%RH C      ;46.7;TA Temp C  ;48.6;TG Temp C  ;25.3;WET Temp C ;16.7;DP Temp C  
70;19/05/2001;10:21:44;32.2;WBGT Temp C;18.2;%RH C      ;46.8;TA Temp C  ;49.1;TG Temp C  ;25.4;WET Temp C ;16.8;DP Temp C  
71;19/05/2001;10:22:44;32.6;WBGT Temp C;17.6;%RH C      ;47.7;TA Temp C  ;49.5;TG Temp C  ;25.7;WET Temp C ;16.9;DP Temp C  
72;19/05/2001;10:23:44;32.5;WBGT Temp C;18;%RH C      ;47.4;TA Temp C  ;49.1;TG Temp C  ;25.7;WET Temp C ;17.1;DP Temp C  
73;19/05/2001;10:24:44;32.6;WBGT Temp C;17.6;%RH C      ;47.9;TA Temp C  ;49.1;TG Temp C  ;25.8;WET Temp C ;17.1;DP Temp C  
74;19/05/2001;10:25:44;32.7;WBGT Temp C;16.9;%RH C      ;48.3;TA Temp C  ;49.8;TG Temp C  ;25.7;WET Temp C ;16.8;DP Temp C  
75;19/05/2001;10:26:44;32.7;WBGT Temp C;17.2;%RH C      ;48;TA Temp C  ;49.7;TG Temp C  ;25.7;WET Temp C ;16.8;DP Temp C  
76;19/05/2001;10:27:44;32.6;WBGT Temp C;17.6;%RH C      ;47.9;TA Temp C  ;49.1;TG Temp C  ;25.8;WET Temp C ;17.1;DP Temp C  
77;19/05/2001;10:28:44;32.9;WBGT Temp C;17.3;%RH C      ;48.4;TA Temp C  ;49.3;TG Temp C  ;26;WET Temp C ;17.3;DP Temp C  
78;19/05/2001;10:29:44;32.7;WBGT Temp C;17.4;%RH C      ;47.9;TA Temp C  ;50.3;TG Temp C  ;25.6;WET Temp C ;16.7;DP Temp C  
79;19/05/2001;10:30:44;31.5;WBGT Temp C;20.7;%RH C      ;43.6;TA Temp C  ;50.8;TG Temp C  ;24.3;WET Temp C ;16.2;DP Temp C  
80;19/05/2001;10:31:44;32.4;WBGT Temp C;18.6;%RH C      ;46.3;TA Temp C  ;50.3;TG Temp C  ;25.3;WET Temp C ;16.8;DP Temp C  
81;19/05/2001;10:32:44;32.3;WBGT Temp C;17.9;%RH C      ;47.2;TA Temp C  ;48.9;TG Temp C  ;25.5;WET Temp C ;16.9;DP Temp C  
82;19/05/2001;10:33:44;32.3;WBGT Temp C;17.8;%RH C      ;47.5;TA Temp C  ;48;TG Temp C  ;25.7;WET Temp C ;17;DP Temp C  
83;19/05/2001;10:34:44;32.3;WBGT Temp C;17.7;%RH C      ;47.5;TA Temp C  ;48.1;TG Temp C  ;25.6;WET Temp C ;16.9;DP Temp C  
84;19/05/2001;10:35:44;32.6;WBGT Temp C;17.6;%RH C      ;47.5;TA Temp C  ;49.5;TG Temp C  ;25.7;WET Temp C ;16.9;DP Temp C  
85;19/05/2001;10:36:44;33.1;WBGT Temp C;16.9;%RH C      ;48.7;TA Temp C  ;50.5;TG Temp C  ;26;WET Temp C ;17.2;DP Temp C  
86;19/05/2001;10:37:44;33.2;WBGT Temp C;17.7;%RH C      ;47.9;TA Temp C  ;51.4;TG Temp C  ;25.9;WET Temp C ;17.3;DP Temp C  
87;19/05/2001;10:38:44;33.8;WBGT Temp C;16.5;%RH C      ;49.4;TA Temp C  ;52.5;TG Temp C  ;26.3;WET Temp C ;17.3;DP Temp C  
88;19/05/2001;10:39:44;33.8;WBGT Temp C;16.9;%RH C      ;49.4;TA Temp C  ;51.9;TG Temp C  ;26.5;WET Temp C ;17.8;DP Temp C  
89;19/05/2001;10:40:44;33.7;WBGT Temp C;15.9;%RH C      ;49.8;TA Temp C  ;52.6;TG Temp C  ;26.1;WET Temp C ;16.9;DP Temp C  
90;19/05/2001;10:41:44;33.4;WBGT Temp C;16.2;%RH C      ;49.3;TA Temp C  ;51.4;TG Temp C  ;26.1;WET Temp C ;17;DP Temp C  
91;19/05/2001;10:42:44;33;WBGT Temp C;16.4;%RH C      ;48.9;TA Temp C  ;49.9;TG Temp C  ;25.9;WET Temp C ;16.8;DP Temp C  
92;19/05/2001;10:43:44;32.7;WBGT Temp C;16.6;%RH C      ;48.5;TA Temp C  ;49.5;TG Temp C  ;25.7;WET Temp C ;16.6;DP Temp C  
93;19/05/2001;10:44:44;33.3;WBGT Temp C;16.4;%RH C      ;49.5;TA Temp C  ;49.9;TG Temp C  ;26.4;WET Temp C ;17.4;DP Temp C  
94;19/05/2001;10:45:44;33.3;WBGT Temp C;16.1;%RH C      ;49.5;TA Temp C  ;50.4;TG Temp C  ;26.2;WET Temp C ;17;DP Temp C  
95;19/05/2001;10:46:44;33.1;WBGT Temp C;16.6;%RH C      ;49.1;TA Temp C  ;50;TG Temp C  ;26;WET Temp C ;17;DP Temp C  
96;19/05/2001;10:47:44;33.3;WBGT Temp C;16.8;%RH C      ;48.9;TA Temp C  ;50.6;TG Temp C  ;26.2;WET Temp C ;17.3;DP Temp C  
97;19/05/2001;10:48:44;33.4;WBGT Temp C;16.1;%RH C      ;49.5;TA Temp C  ;50.5;TG Temp C  ;26.2;WET Temp C ;17;DP Temp C  
98;19/05/2001;10:49:44;32.7;WBGT Temp C;16.7;%RH C      ;48.5;TA Temp C  ;49.5;TG Temp C  ;25.8;WET Temp C ;16.7;DP Temp C  
99;19/05/2001;10:50:44;32.7;WBGT Temp C;16.5;%RH C      ;48.8;TA Temp C  ;49.4;TG Temp C  ;25.7;WET Temp C ;16.5;DP Temp C  
100;19/05/2001;10:51:44;33;WBGT Temp C;16.7;%RH C      ;48.8;TA Temp C  ;49.7;TG Temp C  ;26;WET Temp C ;17.1;DP Temp C  
101;19/05/2001;10:52:44;31.7;WBGT Temp C;18.8;%RH C      ;45.4;TA Temp C  ;50.2;TG Temp C  ;24.6;WET Temp C ;16;DP Temp C  
102;19/05/2001;10:53:44;32.2;WBGT Temp C;20.5;%RH C      ;44.7;TA Temp C  ;51;TG Temp C  ;25.1;WET Temp C ;17.1;DP Temp C  
103;19/05/2001;10:54:44;32.9;WBGT Temp C;17.2;%RH C      ;47.8;TA Temp C  ;51.1;TG Temp C  ;25.7;WET Temp C ;16.8;DP Temp C  
104;19/05/2001;10:55:44;32.5;WBGT Temp C;16.9;%RH C      ;48;TA Temp C  ;49.2;TG Temp C  ;25.6;WET Temp C ;16.6;DP Temp C  
105;19/05/2001;10:56:44;32.5;WBGT Temp C;17;%RH C      ;47.8;TA Temp C  ;48.7;TG Temp C  ;25.7;WET Temp C ;16.7;DP Temp C  
106;19/05/2001;10:57:44;32.7;WBGT Temp C;16.4;%RH C      ;48.7;TA Temp C  ;48.9;TG Temp C  ;25.8;WET Temp C ;16.6;DP Temp C  
107;19/05/2001;10:58:44;32.5;WBGT Temp C;16.7;%RH C      ;48.3;TA Temp C  ;48.6;TG Temp C  ;25.7;WET Temp C ;16.7;DP Temp C  
108;19/05/2001;10:59:44;32.8;WBGT Temp C;16.3;%RH C      ;48.8;TA Temp C  ;49;TG Temp C  ;25.9;WET Temp C ;16.7;DP Temp C  
109;19/05/2001;11:00:44;32.3;WBGT Temp C;16.8;%RH C      ;48;TA Temp C  ;48.7;TG Temp C  ;25.5;WET Temp C ;16.4;DP Temp C  
110;19/05/2001;11:01:44;31.9;WBGT Temp C;17.3;%RH C      ;47.2;TA Temp C  ;47.8;TG Temp C  ;25.2;WET Temp C ;16.3;DP Temp C  
111;19/05/2001;11:02:44;31.9;WBGT Temp C;17.4;%RH C      ;47.3;TA Temp C  ;47.1;TG Temp C  ;25.4;WET Temp C ;16.5;DP Temp C  
112;19/05/2001;11:03:44;32.3;WBGT Temp C;16.6;%RH C      ;48.3;TA Temp C  ;48.1;TG Temp C  ;25.6;WET Temp C ;16.5;DP Temp C  
113;19/05/2001;11:04:44;31.9;WBGT Temp C;18.2;%RH C      ;46.2;TA Temp C  ;48.6;TG Temp C  ;25.2;WET Temp C ;16.5;DP Temp C  
114;19/05/2001;11:05:44;32.5;WBGT Temp C;17.2;%RH C      ;47.7;TA Temp C  ;49;TG Temp C  ;25.6;WET Temp C ;16.7;DP Temp C  
115;19/05/2001;11:06:44;32.4;WBGT Temp C;17;%RH C      ;47.7;TA Temp C  ;49.2;TG Temp C  ;25.5;WET Temp C ;16.5;DP Temp C  
116;19/05/2001;11:07:44;32.6;WBGT Temp C;17;%RH C      ;48;TA Temp C  ;49.1;TG Temp C  ;25.7;WET Temp C ;16.8;DP Temp C  
117;19/05/2001;11:08:44;32.4;WBGT Temp C;16.7;%RH C      ;48;TA Temp C  ;49.1;TG Temp C  ;25.5;WET Temp C ;16.4;DP Temp C  
