Place;Date;Time;Value;Unit;Value;Unit;Value;Unit;Value;Unit;Value;Unit;Value;Unit
1;19/05/2004;09:01:07;28.3;WBGT Temp C;35.6;%RH C      ;36.1;TA Temp C  ;39.2;TG Temp C  ;23.7;WET Temp C ;18.6;DP Temp C  
2;19/05/2004;09:02:07;28.2;WBGT Temp C;35.3;%RH C      ;36;TA Temp C  ;39.6;TG Temp C  ;23.4;WET Temp C ;18.2;DP Temp C  
3;19/05/2004;09:03:07;28.2;WBGT Temp C;34.7;%RH C      ;36.2;TA Temp C  ;39.7;TG Temp C  ;23.4;WET Temp C ;18.1;DP Temp C  
4;19/05/2004;09:04:07;28.4;WBGT Temp C;34.6;%RH C      ;36.4;TA Temp C  ;39.7;TG Temp C  ;23.6;WET Temp C ;18.3;DP Temp C  
5;19/05/2004;09:05:07;28.3;WBGT Temp C;34.5;%RH C      ;36.3;TA Temp C  ;39.9;TG Temp C  ;23.4;WET Temp C ;18.1;DP Temp C  
6;19/05/2004;09:06:07;28.4;WBGT Temp C;34;%RH C      ;36.6;TA Temp C  ;40;TG Temp C  ;23.5;WET Temp C ;18.1;DP Temp C  
7;19/05/2004;09:07:07;28.5;WBGT Temp C;34;%RH C      ;36.6;TA Temp C  ;40;TG Temp C  ;23.6;WET Temp C ;18.2;DP Temp C  
8;19/05/2004;09:08:07;28.6;WBGT Temp C;32.7;%RH C      ;37.2;TA Temp C  ;40.3;TG Temp C  ;23.6;WET Temp C ;18;DP Temp C  
9;19/05/2004;09:09:07;28.4;WBGT Temp C;32.9;%RH C      ;36.8;TA Temp C  ;40.1;TG Temp C  ;23.4;WET Temp C ;17.8;DP Temp C  
10;19/05/2004;09:10:07;28.7;WBGT Temp C;32;%RH C      ;37.7;TA Temp C  ;40.3;TG Temp C  ;23.8;WET Temp C ;18.1;DP Temp C  
11;19/05/2004;09:11:07;28.7;WBGT Temp C;31.7;%RH C      ;37.7;TA Temp C  ;40.6;TG Temp C  ;23.6;WET Temp C ;17.9;DP Temp C  
12;19/05/2004;09:12:07;28.7;WBGT Temp C;31.9;%RH C      ;37.4;TA Temp C  ;40.6;TG Temp C  ;23.6;WET Temp C ;17.9;DP Temp C  
13;19/05/2004;09:13:07;28.8;WBGT Temp C;32.9;%RH C      ;37;TA Temp C  ;41.1;TG Temp C  ;23.6;WET Temp C ;18;DP Temp C  
14;19/05/2004;09:14:07;28.8;WBGT Temp C;32.1;%RH C      ;37.5;TA Temp C  ;41;TG Temp C  ;23.7;WET Temp C ;18.1;DP Temp C  
15;19/05/2004;09:15:07;28.8;WBGT Temp C;31.2;%RH C      ;37.7;TA Temp C  ;41;TG Temp C  ;23.6;WET Temp C ;17.7;DP Temp C  
16;19/05/2004;09:16:07;29;WBGT Temp C;30.7;%RH C      ;38.3;TA Temp C  ;41.3;TG Temp C  ;23.9;WET Temp C ;18.1;DP Temp C  
17;19/05/2004;09:17:07;29.3;WBGT Temp C;29.8;%RH C      ;38.8;TA Temp C  ;41.8;TG Temp C  ;24;WET Temp C ;18;DP Temp C  
18;19/05/2004;09:18:07;29.3;WBGT Temp C;29.5;%RH C      ;38.8;TA Temp C  ;42.2;TG Temp C  ;24;WET Temp C ;17.9;DP Temp C  
