Place;Date;Time;Value;Unit;Value;Unit;Value;Unit;Value;Unit;Value;Unit;Value;Unit
1;24/05/2002;09:25:35;28;WBGT Temp C;53.4;%RH C      ;32.9;TA Temp C  ;36.8;TG Temp C  ;24.9;WET Temp C ;22.1;DP Temp C  
2;24/05/2002;09:26:35;28.1;WBGT Temp C;52.9;%RH C      ;33;TA Temp C  ;37.4;TG Temp C  ;24.8;WET Temp C ;22;DP Temp C  
3;24/05/2002;09:27:35;28;WBGT Temp C;55.7;%RH C      ;32;TA Temp C  ;37.7;TG Temp C  ;24.7;WET Temp C ;22.1;DP Temp C  
4;24/05/2002;09:28:35;27.7;WBGT Temp C;55.2;%RH C      ;31.9;TA Temp C  ;37.5;TG Temp C  ;24.4;WET Temp C ;21.6;DP Temp C  
5;24/05/2002;09:29:35;28;WBGT Temp C;56.3;%RH C      ;32;TA Temp C  ;37.6;TG Temp C  ;24.8;WET Temp C ;22.2;DP Temp C  
6;24/05/2002;09:30:35;27.7;WBGT Temp C;55.6;%RH C      ;31.9;TA Temp C  ;37.1;TG Temp C  ;24.4;WET Temp C ;21.8;DP Temp C  
7;24/05/2002;09:31:35;27.9;WBGT Temp C;56;%RH C      ;32;TA Temp C  ;37;TG Temp C  ;24.8;WET Temp C ;22.2;DP Temp C  
8;24/05/2002;09:32:35;27.9;WBGT Temp C;54.7;%RH C      ;32.3;TA Temp C  ;36.8;TG Temp C  ;24.8;WET Temp C ;22.1;DP Temp C  
9;24/05/2002;09:33:35;27.8;WBGT Temp C;56.5;%RH C      ;31.8;TA Temp C  ;36.7;TG Temp C  ;24.7;WET Temp C ;22.1;DP Temp C  
10;24/05/2002;09:34:35;27.3;WBGT Temp C;56.5;%RH C      ;31.4;TA Temp C  ;36.5;TG Temp C  ;24.2;WET Temp C ;21.6;DP Temp C  
11;24/05/2002;09:35:35;27.5;WBGT Temp C;56.8;%RH C      ;31.5;TA Temp C  ;36.2;TG Temp C  ;24.5;WET Temp C ;21.9;DP Temp C  
12;24/05/2002;09:36:35;27.4;WBGT Temp C;55.9;%RH C      ;31.7;TA Temp C  ;36.2;TG Temp C  ;24.4;WET Temp C ;21.8;DP Temp C  
13;24/05/2002;09:37:35;27.6;WBGT Temp C;55.8;%RH C      ;31.9;TA Temp C  ;36;TG Temp C  ;24.6;WET Temp C ;22;DP Temp C  
14;24/05/2002;09:38:35;27.5;WBGT Temp C;55.2;%RH C      ;32;TA Temp C  ;36.1;TG Temp C  ;24.5;WET Temp C ;21.8;DP Temp C  
15;24/05/2002;09:39:35;27.7;WBGT Temp C;55.7;%RH C      ;32;TA Temp C  ;36.3;TG Temp C  ;24.7;WET Temp C ;22.1;DP Temp C  
16;24/05/2002;09:40:35;28.1;WBGT Temp C;54.5;%RH C      ;32.7;TA Temp C  ;36.8;TG Temp C  ;25;WET Temp C ;22.3;DP Temp C  
17;24/05/2002;09:41:35;27.4;WBGT Temp C;54.7;%RH C      ;31.8;TA Temp C  ;36.4;TG Temp C  ;24.3;WET Temp C ;21.5;DP Temp C  
18;24/05/2002;09:42:35;27.3;WBGT Temp C;54.8;%RH C      ;31.7;TA Temp C  ;35.8;TG Temp C  ;24.3;WET Temp C ;21.5;DP Temp C  
19;24/05/2002;09:43:35;27.5;WBGT Temp C;54.7;%RH C      ;32;TA Temp C  ;35.7;TG Temp C  ;24.5;WET Temp C ;21.8;DP Temp C  
20;24/05/2002;09:44:35;27.8;WBGT Temp C;54.3;%RH C      ;32.6;TA Temp C  ;35.8;TG Temp C  ;24.9;WET Temp C ;22.1;DP Temp C  
21;24/05/2002;09:45:35;27.7;WBGT Temp C;55.6;%RH C      ;32.2;TA Temp C  ;35.8;TG Temp C  ;24.8;WET Temp C ;22.1;DP Temp C  
22;24/05/2002;09:46:35;27.6;WBGT Temp C;56.3;%RH C      ;31.8;TA Temp C  ;36;TG Temp C  ;24.7;WET Temp C ;22.1;DP Temp C  
23;24/05/2002;09:47:35;27.8;WBGT Temp C;55.5;%RH C      ;32.2;TA Temp C  ;36.1;TG Temp C  ;24.8;WET Temp C ;22.1;DP Temp C  
24;24/05/2002;09:48:35;28;WBGT Temp C;54.9;%RH C      ;32.5;TA Temp C  ;36.3;TG Temp C  ;25;WET Temp C ;22.3;DP Temp C  
25;24/05/2002;09:49:35;27.7;WBGT Temp C;54.4;%RH C      ;32.3;TA Temp C  ;36.5;TG Temp C  ;24.6;WET Temp C ;21.9;DP Temp C  
26;24/05/2002;09:50:35;28.2;WBGT Temp C;53.2;%RH C      ;32.9;TA Temp C  ;37.1;TG Temp C  ;25;WET Temp C ;22.1;DP Temp C  
27;24/05/2002;09:51:35;28;WBGT Temp C;54.7;%RH C      ;32.4;TA Temp C  ;37.4;TG Temp C  ;24.8;WET Temp C ;22.1;DP Temp C  
28;24/05/2002;09:52:35;27.9;WBGT Temp C;53.1;%RH C      ;32.5;TA Temp C  ;37.5;TG Temp C  ;24.6;WET Temp C ;21.7;DP Temp C  
29;24/05/2002;09:53:35;28;WBGT Temp C;52.8;%RH C      ;32.8;TA Temp C  ;37.3;TG Temp C  ;24.7;WET Temp C ;21.7;DP Temp C  
30;24/05/2002;09:54:35;28.1;WBGT Temp C;51.5;%RH C      ;33.2;TA Temp C  ;37.2;TG Temp C  ;24.8;WET Temp C ;21.8;DP Temp C  
31;24/05/2002;09:55:35;28.1;WBGT Temp C;51.8;%RH C      ;33.1;TA Temp C  ;37.2;TG Temp C  ;24.8;WET Temp C ;21.8;DP Temp C  
32;24/05/2002;09:56:35;28.3;WBGT Temp C;50.8;%RH C      ;33.6;TA Temp C  ;37.2;TG Temp C  ;25;WET Temp C ;21.9;DP Temp C  
33;24/05/2002;09:57:35;27.9;WBGT Temp C;51.9;%RH C      ;32.9;TA Temp C  ;37.3;TG Temp C  ;24.6;WET Temp C ;21.6;DP Temp C  
34;24/05/2002;09:58:35;27.7;WBGT Temp C;54;%RH C      ;32.1;TA Temp C  ;37.5;TG Temp C  ;24.3;WET Temp C ;21.5;DP Temp C  
35;24/05/2002;09:59:35;28.1;WBGT Temp C;51.8;%RH C      ;33.1;TA Temp C  ;37.2;TG Temp C  ;24.9;WET Temp C ;21.9;DP Temp C  
36;24/05/2002;10:00:35;28.1;WBGT Temp C;51.6;%RH C      ;33.1;TA Temp C  ;37.9;TG Temp C  ;24.7;WET Temp C ;21.7;DP Temp C  
37;24/05/2002;10:01:35;28.3;WBGT Temp C;53.4;%RH C      ;32.6;TA Temp C  ;38.5;TG Temp C  ;24.8;WET Temp C ;21.9;DP Temp C  
38;24/05/2002;10:02:35;28.2;WBGT Temp C;53.8;%RH C      ;32.4;TA Temp C  ;38.9;TG Temp C  ;24.6;WET Temp C ;21.8;DP Temp C  
39;24/05/2002;10:03:35;28.1;WBGT Temp C;53.9;%RH C      ;32.2;TA Temp C  ;39;TG Temp C  ;24.4;WET Temp C ;21.6;DP Temp C  
40;24/05/2002;10:04:35;28.2;WBGT Temp C;54.9;%RH C      ;32.2;TA Temp C  ;38.6;TG Temp C  ;24.7;WET Temp C ;22;DP Temp C  
41;24/05/2002;10:05:35;28.4;WBGT Temp C;53.8;%RH C      ;32.6;TA Temp C  ;38.5;TG Temp C  ;24.9;WET Temp C ;22.1;DP Temp C  
42;24/05/2002;10:06:35;28;WBGT Temp C;53.2;%RH C      ;32.2;TA Temp C  ;38.7;TG Temp C  ;24.4;WET Temp C ;21.5;DP Temp C  
43;24/05/2002;10:07:35;28.5;WBGT Temp C;51.7;%RH C      ;33.1;TA Temp C  ;39;TG Temp C  ;24.9;WET Temp C ;21.9;DP Temp C  
44;24/05/2002;10:08:35;28.3;WBGT Temp C;51.3;%RH C      ;32.9;TA Temp C  ;39.1;TG Temp C  ;24.6;WET Temp C ;21.6;DP Temp C  
45;24/05/2002;10:09:35;28.4;WBGT Temp C;49.1;%RH C      ;33.6;TA Temp C  ;38.9;TG Temp C  ;24.7;WET Temp C ;21.5;DP Temp C  
46;24/05/2002;10:10:35;28.6;WBGT Temp C;49.2;%RH C      ;33.8;TA Temp C  ;38.9;TG Temp C  ;24.9;WET Temp C ;21.7;DP Temp C  
47;24/05/2002;10:11:35;28.5;WBGT Temp C;49.4;%RH C      ;33.7;TA Temp C  ;39.1;TG Temp C  ;24.8;WET Temp C ;21.6;DP Temp C  
48;24/05/2002;10:12:35;28.4;WBGT Temp C;50;%RH C      ;33.5;TA Temp C  ;38.7;TG Temp C  ;24.8;WET Temp C ;21.6;DP Temp C  
49;24/05/2002;10:13:35;28.1;WBGT Temp C;49.4;%RH C      ;33.3;TA Temp C  ;38.6;TG Temp C  ;24.4;WET Temp C ;21.1;DP Temp C  
50;24/05/2002;10:14:35;28.2;WBGT Temp C;49.3;%RH C      ;33.4;TA Temp C  ;38.6;TG Temp C  ;24.6;WET Temp C ;21.4;DP Temp C  
51;24/05/2002;10:15:35;28.5;WBGT Temp C;47.3;%RH C      ;34.3;TA Temp C  ;39;TG Temp C  ;24.8;WET Temp C ;21.4;DP Temp C  
52;24/05/2002;10:16:35;28.9;WBGT Temp C;46.8;%RH C      ;34.7;TA Temp C  ;39.5;TG Temp C  ;25.1;WET Temp C ;21.7;DP Temp C  
53;24/05/2002;10:17:35;28.7;WBGT Temp C;47.8;%RH C      ;33.9;TA Temp C  ;40.6;TG Temp C  ;24.6;WET Temp C ;21.2;DP Temp C  
54;24/05/2002;10:18:35;28.7;WBGT Temp C;49.4;%RH C      ;33.6;TA Temp C  ;40.7;TG Temp C  ;24.7;WET Temp C ;21.5;DP Temp C  
55;24/05/2002;10:19:35;28.1;WBGT Temp C;51.2;%RH C      ;32.3;TA Temp C  ;40.6;TG Temp C  ;24;WET Temp C ;20.9;DP Temp C  
56;24/05/2002;10:20:35;28.6;WBGT Temp C;51.7;%RH C      ;32.8;TA Temp C  ;40.2;TG Temp C  ;24.7;WET Temp C ;21.7;DP Temp C  
57;24/05/2002;10:21:35;28.1;WBGT Temp C;50.7;%RH C      ;32.5;TA Temp C  ;39.9;TG Temp C  ;24.1;WET Temp C ;20.9;DP Temp C  
58;24/05/2002;10:22:35;28;WBGT Temp C;51.9;%RH C      ;32.3;TA Temp C  ;39.7;TG Temp C  ;24.1;WET Temp C ;21.1;DP Temp C  
