Place;Date;Time;Value;Unit;Value;Unit;Value;Unit;Value;Unit;Value;Unit;Value;Unit
1;24/05/2007;09:29:29;26.2;WBGT Temp C;62;%RH C      ;29.6;TA Temp C  ;32.1;TG Temp C  ;23.8;WET Temp C ;21.6;DP Temp C  
2;24/05/2007;09:30:29;25.9;WBGT Temp C;62;%RH C      ;29.5;TA Temp C  ;31.5;TG Temp C  ;23.6;WET Temp C ;21.4;DP Temp C  
3;24/05/2007;09:31:29;25.9;WBGT Temp C;62.7;%RH C      ;29.4;TA Temp C  ;31.3;TG Temp C  ;23.6;WET Temp C ;21.5;DP Temp C  
4;24/05/2007;09:32:29;25.7;WBGT Temp C;63.2;%RH C      ;29.2;TA Temp C  ;31.1;TG Temp C  ;23.5;WET Temp C ;21.4;DP Temp C  
5;24/05/2007;09:33:29;25.7;WBGT Temp C;63.4;%RH C      ;29.1;TA Temp C  ;31.1;TG Temp C  ;23.5;WET Temp C ;21.4;DP Temp C  
6;24/05/2007;09:34:29;25.8;WBGT Temp C;63.7;%RH C      ;29;TA Temp C  ;31.2;TG Temp C  ;23.5;WET Temp C ;21.4;DP Temp C  
7;24/05/2007;09:35:29;25.9;WBGT Temp C;62.2;%RH C      ;29.5;TA Temp C  ;31.3;TG Temp C  ;23.6;WET Temp C ;21.4;DP Temp C  
8;24/05/2007;09:36:29;25.7;WBGT Temp C;64.4;%RH C      ;28.9;TA Temp C  ;31.1;TG Temp C  ;23.5;WET Temp C ;21.5;DP Temp C  
9;24/05/2007;09:37:29;25.8;WBGT Temp C;62.7;%RH C      ;29.3;TA Temp C  ;31.2;TG Temp C  ;23.6;WET Temp C ;21.5;DP Temp C  
10;24/05/2007;09:38:29;25.9;WBGT Temp C;61.5;%RH C      ;29.7;TA Temp C  ;31.3;TG Temp C  ;23.7;WET Temp C ;21.5;DP Temp C  
11;24/05/2007;09:39:29;26;WBGT Temp C;61.7;%RH C      ;29.6;TA Temp C  ;31.4;TG Temp C  ;23.7;WET Temp C ;21.5;DP Temp C  
12;24/05/2007;09:40:29;26.1;WBGT Temp C;61.3;%RH C      ;29.8;TA Temp C  ;31.5;TG Temp C  ;23.8;WET Temp C ;21.6;DP Temp C  
13;24/05/2007;09:41:29;25.9;WBGT Temp C;62.5;%RH C      ;29.3;TA Temp C  ;31.5;TG Temp C  ;23.5;WET Temp C ;21.3;DP Temp C  
14;24/05/2007;09:42:29;25.9;WBGT Temp C;63;%RH C      ;29.3;TA Temp C  ;31.3;TG Temp C  ;23.6;WET Temp C ;21.5;DP Temp C  
15;24/05/2007;09:43:29;25.9;WBGT Temp C;62.6;%RH C      ;29.4;TA Temp C  ;31.3;TG Temp C  ;23.6;WET Temp C ;21.5;DP Temp C  
16;24/05/2007;09:44:29;26.1;WBGT Temp C;62.4;%RH C      ;29.6;TA Temp C  ;31.4;TG Temp C  ;23.9;WET Temp C ;21.7;DP Temp C  
17;24/05/2007;09:45:29;26;WBGT Temp C;62.5;%RH C      ;29.5;TA Temp C  ;31.4;TG Temp C  ;23.8;WET Temp C ;21.6;DP Temp C  
18;24/05/2007;09:46:29;26;WBGT Temp C;62.8;%RH C      ;29.5;TA Temp C  ;31.3;TG Temp C  ;23.8;WET Temp C ;21.7;DP Temp C  
19;24/05/2007;09:47:29;25.8;WBGT Temp C;62.7;%RH C      ;29.4;TA Temp C  ;31.1;TG Temp C  ;23.6;WET Temp C ;21.5;DP Temp C  
20;24/05/2007;09:48:29;25.8;WBGT Temp C;62.1;%RH C      ;29.5;TA Temp C  ;30.9;TG Temp C  ;23.7;WET Temp C ;21.5;DP Temp C  
21;24/05/2007;09:49:29;25.6;WBGT Temp C;61.8;%RH C      ;29.4;TA Temp C  ;30.8;TG Temp C  ;23.5;WET Temp C ;21.3;DP Temp C  
22;24/05/2007;09:50:29;25.8;WBGT Temp C;60.6;%RH C      ;29.9;TA Temp C  ;30.7;TG Temp C  ;23.7;WET Temp C ;21.4;DP Temp C  
23;24/05/2007;09:51:29;25.7;WBGT Temp C;59.6;%RH C      ;30;TA Temp C  ;30.6;TG Temp C  ;23.6;WET Temp C ;21.2;DP Temp C  
24;24/05/2007;09:52:29;25.8;WBGT Temp C;59.9;%RH C      ;30;TA Temp C  ;30.7;TG Temp C  ;23.7;WET Temp C ;21.3;DP Temp C  
25;24/05/2007;09:53:29;25.9;WBGT Temp C;60.9;%RH C      ;29.8;TA Temp C  ;30.8;TG Temp C  ;23.8;WET Temp C ;21.5;DP Temp C  
26;24/05/2007;09:54:29;25.8;WBGT Temp C;60.7;%RH C      ;29.9;TA Temp C  ;31;TG Temp C  ;23.7;WET Temp C ;21.4;DP Temp C  
27;24/05/2007;09:55:29;25.6;WBGT Temp C;62.6;%RH C      ;29.1;TA Temp C  ;30.9;TG Temp C  ;23.4;WET Temp C ;21.3;DP Temp C  
28;24/05/2007;09:56:29;25.5;WBGT Temp C;61.9;%RH C      ;29.2;TA Temp C  ;30.9;TG Temp C  ;23.3;WET Temp C ;21.1;DP Temp C  
29;24/05/2007;09:57:29;25.7;WBGT Temp C;61.3;%RH C      ;29.5;TA Temp C  ;31;TG Temp C  ;23.5;WET Temp C ;21.2;DP Temp C  
30;24/05/2007;09:58:29;25.9;WBGT Temp C;60.7;%RH C      ;29.9;TA Temp C  ;31.1;TG Temp C  ;23.7;WET Temp C ;21.4;DP Temp C  
31;24/05/2007;09:59:29;25.9;WBGT Temp C;61.3;%RH C      ;29.7;TA Temp C  ;31.1;TG Temp C  ;23.7;WET Temp C ;21.4;DP Temp C  
32;24/05/2007;10:00:29;25.9;WBGT Temp C;61.3;%RH C      ;29.7;TA Temp C  ;31.1;TG Temp C  ;23.7;WET Temp C ;21.4;DP Temp C  
33;24/05/2007;10:01:29;26;WBGT Temp C;61;%RH C      ;29.9;TA Temp C  ;31.2;TG Temp C  ;23.8;WET Temp C ;21.5;DP Temp C  
34;24/05/2007;10:02:29;26;WBGT Temp C;59.6;%RH C      ;30.1;TA Temp C  ;31.3;TG Temp C  ;23.8;WET Temp C ;21.4;DP Temp C  
35;24/05/2007;10:03:29;25.8;WBGT Temp C;58.7;%RH C      ;30.3;TA Temp C  ;31;TG Temp C  ;23.7;WET Temp C ;21.3;DP Temp C  
36;24/05/2007;10:04:29;25.8;WBGT Temp C;59.5;%RH C      ;30.1;TA Temp C  ;30.9;TG Temp C  ;23.7;WET Temp C ;21.3;DP Temp C  
37;24/05/2007;10:05:29;25.6;WBGT Temp C;60.5;%RH C      ;29.5;TA Temp C  ;31;TG Temp C  ;23.4;WET Temp C ;21.1;DP Temp C  
38;24/05/2007;10:06:29;25.5;WBGT Temp C;62.4;%RH C      ;29;TA Temp C  ;31;TG Temp C  ;23.2;WET Temp C ;21;DP Temp C  
39;24/05/2007;10:07:29;25.8;WBGT Temp C;61.7;%RH C      ;29.6;TA Temp C  ;31;TG Temp C  ;23.7;WET Temp C ;21.5;DP Temp C  
40;24/05/2007;10:08:29;25.8;WBGT Temp C;61;%RH C      ;29.7;TA Temp C  ;31.2;TG Temp C  ;23.6;WET Temp C ;21.3;DP Temp C  
41;24/05/2007;10:09:29;25.9;WBGT Temp C;60.5;%RH C      ;29.9;TA Temp C  ;31.3;TG Temp C  ;23.7;WET Temp C ;21.4;DP Temp C  
42;24/05/2007;10:10:29;25.8;WBGT Temp C;61.2;%RH C      ;29.6;TA Temp C  ;31.1;TG Temp C  ;23.6;WET Temp C ;21.3;DP Temp C  
43;24/05/2007;10:11:29;25.9;WBGT Temp C;61.9;%RH C      ;29.5;TA Temp C  ;31.2;TG Temp C  ;23.7;WET Temp C ;21.5;DP Temp C  
44;24/05/2007;10:12:29;26;WBGT Temp C;61;%RH C      ;29.9;TA Temp C  ;31.4;TG Temp C  ;23.8;WET Temp C ;21.5;DP Temp C  
45;24/05/2007;10:13:29;25.9;WBGT Temp C;60.5;%RH C      ;29.7;TA Temp C  ;31.7;TG Temp C  ;23.5;WET Temp C ;21.2;DP Temp C  
46;24/05/2007;10:14:29;25.9;WBGT Temp C;61.6;%RH C      ;29.5;TA Temp C  ;31.6;TG Temp C  ;23.5;WET Temp C ;21.3;DP Temp C  
47;24/05/2007;10:15:29;26;WBGT Temp C;61;%RH C      ;29.7;TA Temp C  ;31.7;TG Temp C  ;23.6;WET Temp C ;21.3;DP Temp C  
48;24/05/2007;10:16:29;26;WBGT Temp C;60.4;%RH C      ;29.8;TA Temp C  ;31.8;TG Temp C  ;23.6;WET Temp C ;21.3;DP Temp C  
49;24/05/2007;10:17:29;25.8;WBGT Temp C;61.3;%RH C      ;29.4;TA Temp C  ;31.6;TG Temp C  ;23.4;WET Temp C ;21.1;DP Temp C  
50;24/05/2007;10:18:29;25.9;WBGT Temp C;61.8;%RH C      ;29.4;TA Temp C  ;31.5;TG Temp C  ;23.5;WET Temp C ;21.3;DP Temp C  
51;24/05/2007;10:19:29;25.9;WBGT Temp C;60.7;%RH C      ;29.7;TA Temp C  ;31.4;TG Temp C  ;23.6;WET Temp C ;21.2;DP Temp C  
52;24/05/2007;10:20:29;25.7;WBGT Temp C;61.4;%RH C      ;29.3;TA Temp C  ;31.5;TG Temp C  ;23.4;WET Temp C ;21.1;DP Temp C  
53;24/05/2007;10:21:29;26;WBGT Temp C;59.9;%RH C      ;29.9;TA Temp C  ;31.6;TG Temp C  ;23.7;WET Temp C ;21.3;DP Temp C  
54;24/05/2007;10:22:29;26;WBGT Temp C;59.8;%RH C      ;30;TA Temp C  ;31.6;TG Temp C  ;23.7;WET Temp C ;21.3;DP Temp C  
55;24/05/2007;10:23:29;25.9;WBGT Temp C;59.7;%RH C      ;29.8;TA Temp C  ;31.5;TG Temp C  ;23.5;WET Temp C ;21.1;DP Temp C  
56;24/05/2007;10:24:29;25.7;WBGT Temp C;59.7;%RH C      ;29.7;TA Temp C  ;31.3;TG Temp C  ;23.4;WET Temp C ;21;DP Temp C  
57;24/05/2007;10:25:29;25.5;WBGT Temp C;59.9;%RH C      ;29.3;TA Temp C  ;31.3;TG Temp C  ;23.1;WET Temp C ;20.6;DP Temp C  
58;24/05/2007;10:26:29;25.6;WBGT Temp C;60.3;%RH C      ;29.4;TA Temp C  ;31.3;TG Temp C  ;23.2;WET Temp C ;20.9;DP Temp C  
