Place;Date;Time;Value;Unit;Value;Unit;Value;Unit;Value;Unit;Value;Unit;Value;Unit
1;24/05/2010;09:40:36;26.5;WBGT Temp C;58.6;%RH C      ;30.1;TA Temp C  ;33.8;TG Temp C  ;23.5;WET Temp C ;21;DP Temp C  
2;24/05/2010;09:41:36;26.4;WBGT Temp C;58.1;%RH C      ;30.3;TA Temp C  ;33.2;TG Temp C  ;23.6;WET Temp C ;21.1;DP Temp C  
3;24/05/2010;09:42:36;26.4;WBGT Temp C;58.2;%RH C      ;30.4;TA Temp C  ;33;TG Temp C  ;23.7;WET Temp C ;21.2;DP Temp C  
4;24/05/2010;09:43:36;26.4;WBGT Temp C;58;%RH C      ;30.4;TA Temp C  ;33;TG Temp C  ;23.7;WET Temp C ;21.2;DP Temp C  
5;24/05/2010;09:44:36;26.4;WBGT Temp C;57.8;%RH C      ;30.4;TA Temp C  ;33.1;TG Temp C  ;23.6;WET Temp C ;21.1;DP Temp C  
6;24/05/2010;09:45:36;26.5;WBGT Temp C;57.6;%RH C      ;30.6;TA Temp C  ;33;TG Temp C  ;23.8;WET Temp C ;21.2;DP Temp C  
7;24/05/2010;09:46:36;26.6;WBGT Temp C;59.4;%RH C      ;30.4;TA Temp C  ;32.9;TG Temp C  ;23.9;WET Temp C ;21.5;DP Temp C  
8;24/05/2010;09:47:36;26.3;WBGT Temp C;58.1;%RH C      ;30.3;TA Temp C  ;32.9;TG Temp C  ;23.6;WET Temp C ;21.1;DP Temp C  
9;24/05/2010;09:48:36;26.2;WBGT Temp C;58.9;%RH C      ;29.9;TA Temp C  ;32.8;TG Temp C  ;23.4;WET Temp C ;20.9;DP Temp C  
10;24/05/2010;09:49:36;26.2;WBGT Temp C;59.2;%RH C      ;29.9;TA Temp C  ;32.8;TG Temp C  ;23.5;WET Temp C ;21;DP Temp C  
11;24/05/2010;09:50:36;26.2;WBGT Temp C;59.6;%RH C      ;29.8;TA Temp C  ;32.7;TG Temp C  ;23.5;WET Temp C ;21.1;DP Temp C  
12;24/05/2010;09:51:36;26.4;WBGT Temp C;58.4;%RH C      ;30.3;TA Temp C  ;32.8;TG Temp C  ;23.7;WET Temp C ;21.2;DP Temp C  
13;24/05/2010;09:52:36;26.3;WBGT Temp C;58.3;%RH C      ;30.1;TA Temp C  ;32.7;TG Temp C  ;23.6;WET Temp C ;21;DP Temp C  
14;24/05/2010;09:53:36;26.3;WBGT Temp C;59;%RH C      ;30.2;TA Temp C  ;32.5;TG Temp C  ;23.7;WET Temp C ;21.2;DP Temp C  
15;24/05/2010;09:54:36;26.1;WBGT Temp C;58;%RH C      ;30.1;TA Temp C  ;32.6;TG Temp C  ;23.4;WET Temp C ;20.9;DP Temp C  
16;24/05/2010;09:55:36;26.3;WBGT Temp C;58.6;%RH C      ;30.2;TA Temp C  ;32.6;TG Temp C  ;23.7;WET Temp C ;21.2;DP Temp C  
17;24/05/2010;09:56:36;26.3;WBGT Temp C;57.3;%RH C      ;30.4;TA Temp C  ;32.8;TG Temp C  ;23.6;WET Temp C ;21;DP Temp C  
18;24/05/2010;09:57:36;26.1;WBGT Temp C;58.8;%RH C      ;29.8;TA Temp C  ;32.7;TG Temp C  ;23.3;WET Temp C ;20.8;DP Temp C  
19;24/05/2010;09:58:36;26;WBGT Temp C;58.7;%RH C      ;29.8;TA Temp C  ;32.6;TG Temp C  ;23.3;WET Temp C ;20.8;DP Temp C  
20;24/05/2010;09:59:36;26;WBGT Temp C;59;%RH C      ;29.8;TA Temp C  ;32.5;TG Temp C  ;23.3;WET Temp C ;20.8;DP Temp C  
21;24/05/2010;10:00:36;26.1;WBGT Temp C;58.6;%RH C      ;29.9;TA Temp C  ;32.5;TG Temp C  ;23.4;WET Temp C ;20.9;DP Temp C  
22;24/05/2010;10:01:36;26;WBGT Temp C;59.8;%RH C      ;29.6;TA Temp C  ;32.3;TG Temp C  ;23.3;WET Temp C ;20.9;DP Temp C  
23;24/05/2010;10:02:36;26.1;WBGT Temp C;60;%RH C      ;29.7;TA Temp C  ;32.2;TG Temp C  ;23.5;WET Temp C ;21.1;DP Temp C  
24;24/05/2010;10:03:36;26.2;WBGT Temp C;59;%RH C      ;30;TA Temp C  ;32.4;TG Temp C  ;23.6;WET Temp C ;21.2;DP Temp C  
25;24/05/2010;10:04:36;25.9;WBGT Temp C;59.7;%RH C      ;29.5;TA Temp C  ;32.4;TG Temp C  ;23.2;WET Temp C ;20.8;DP Temp C  
26;24/05/2010;10:05:36;25.9;WBGT Temp C;59.4;%RH C      ;29.7;TA Temp C  ;32.2;TG Temp C  ;23.3;WET Temp C ;20.9;DP Temp C  
27;24/05/2010;10:06:36;26.1;WBGT Temp C;58.6;%RH C      ;29.9;TA Temp C  ;32.5;TG Temp C  ;23.4;WET Temp C ;20.9;DP Temp C  
28;24/05/2010;10:07:36;26.3;WBGT Temp C;58.6;%RH C      ;30.2;TA Temp C  ;32.8;TG Temp C  ;23.6;WET Temp C ;21.1;DP Temp C  
29;24/05/2010;10:08:36;26.4;WBGT Temp C;58.2;%RH C      ;30.2;TA Temp C  ;33;TG Temp C  ;23.6;WET Temp C ;21;DP Temp C  
30;24/05/2010;10:09:36;26.4;WBGT Temp C;57.5;%RH C      ;30.4;TA Temp C  ;33;TG Temp C  ;23.6;WET Temp C ;21;DP Temp C  
31;24/05/2010;10:10:36;26.7;WBGT Temp C;57.5;%RH C      ;30.8;TA Temp C  ;33.3;TG Temp C  ;24;WET Temp C ;21.5;DP Temp C  
32;24/05/2010;10:11:36;26.6;WBGT Temp C;57.2;%RH C      ;30.6;TA Temp C  ;33.4;TG Temp C  ;23.8;WET Temp C ;21.2;DP Temp C  
33;24/05/2010;10:12:36;26.4;WBGT Temp C;56.3;%RH C      ;30.5;TA Temp C  ;33.3;TG Temp C  ;23.5;WET Temp C ;20.8;DP Temp C  
34;24/05/2010;10:13:36;26.4;WBGT Temp C;56.6;%RH C      ;30.4;TA Temp C  ;33.2;TG Temp C  ;23.5;WET Temp C ;20.8;DP Temp C  
