Place;Date;Time;Value;Unit;Value;Unit;Value;Unit;Value;Unit;Value;Unit;Value;Unit
1;24/05/2006;08:58:32;25.3;WBGT Temp C;64.7;%RH C      ;28.9;TA Temp C  ;29.8;TG Temp C  ;23.6;WET Temp C ;21.6;DP Temp C  
2;24/05/2006;08:59:32;25.2;WBGT Temp C;64.6;%RH C      ;28.8;TA Temp C  ;29.7;TG Temp C  ;23.4;WET Temp C ;21.4;DP Temp C  
3;24/05/2006;09:00:32;25.1;WBGT Temp C;64;%RH C      ;28.8;TA Temp C  ;29.7;TG Temp C  ;23.3;WET Temp C ;21.3;DP Temp C  
4;24/05/2006;09:01:32;25.2;WBGT Temp C;64.7;%RH C      ;28.6;TA Temp C  ;29.6;TG Temp C  ;23.4;WET Temp C ;21.3;DP Temp C  
5;24/05/2006;09:02:32;25.1;WBGT Temp C;64.5;%RH C      ;28.7;TA Temp C  ;29.5;TG Temp C  ;23.3;WET Temp C ;21.3;DP Temp C  
6;24/05/2006;09:03:32;25;WBGT Temp C;63.8;%RH C      ;28.7;TA Temp C  ;29.5;TG Temp C  ;23.2;WET Temp C ;21.1;DP Temp C  
7;24/05/2006;09:04:32;25.1;WBGT Temp C;64.2;%RH C      ;28.7;TA Temp C  ;29.5;TG Temp C  ;23.3;WET Temp C ;21.2;DP Temp C  
8;24/05/2006;09:05:32;24.9;WBGT Temp C;64.8;%RH C      ;28.3;TA Temp C  ;29.4;TG Temp C  ;23.1;WET Temp C ;21.1;DP Temp C  
9;24/05/2006;09:06:32;25.1;WBGT Temp C;64.8;%RH C      ;28.5;TA Temp C  ;29.3;TG Temp C  ;23.3;WET Temp C ;21.3;DP Temp C  
10;24/05/2006;09:07:32;25.1;WBGT Temp C;64;%RH C      ;28.7;TA Temp C  ;29.4;TG Temp C  ;23.3;WET Temp C ;21.3;DP Temp C  
11;24/05/2006;09:08:32;25.1;WBGT Temp C;64;%RH C      ;28.7;TA Temp C  ;29.5;TG Temp C  ;23.3;WET Temp C ;21.3;DP Temp C  
12;24/05/2006;09:09:32;25.1;WBGT Temp C;64.4;%RH C      ;28.7;TA Temp C  ;29.6;TG Temp C  ;23.3;WET Temp C ;21.2;DP Temp C  
13;24/05/2006;09:10:32;25.3;WBGT Temp C;64.4;%RH C      ;28.8;TA Temp C  ;29.6;TG Temp C  ;23.5;WET Temp C ;21.5;DP Temp C  
14;24/05/2006;09:11:32;25.2;WBGT Temp C;63.6;%RH C      ;28.9;TA Temp C  ;29.7;TG Temp C  ;23.4;WET Temp C ;21.2;DP Temp C  
15;24/05/2006;09:12:32;25.1;WBGT Temp C;64.3;%RH C      ;28.7;TA Temp C  ;29.6;TG Temp C  ;23.4;WET Temp C ;21.3;DP Temp C  
16;24/05/2006;09:13:32;25.2;WBGT Temp C;63.6;%RH C      ;28.9;TA Temp C  ;29.6;TG Temp C  ;23.4;WET Temp C ;21.2;DP Temp C  
17;24/05/2006;09:14:32;25.1;WBGT Temp C;63.5;%RH C      ;28.8;TA Temp C  ;29.7;TG Temp C  ;23.2;WET Temp C ;21.1;DP Temp C  
18;24/05/2006;09:15:32;25.1;WBGT Temp C;62.3;%RH C      ;29;TA Temp C  ;29.8;TG Temp C  ;23.2;WET Temp C ;21;DP Temp C  
19;24/05/2006;09:16:32;25.3;WBGT Temp C;62;%RH C      ;29.2;TA Temp C  ;29.8;TG Temp C  ;23.4;WET Temp C ;21.2;DP Temp C  
20;24/05/2006;09:17:32;25.4;WBGT Temp C;62;%RH C      ;29.3;TA Temp C  ;30;TG Temp C  ;23.5;WET Temp C ;21.3;DP Temp C  
21;24/05/2006;09:18:32;25.4;WBGT Temp C;60.8;%RH C      ;29.6;TA Temp C  ;29.9;TG Temp C  ;23.5;WET Temp C ;21.2;DP Temp C  
22;24/05/2006;09:19:32;25.3;WBGT Temp C;62.3;%RH C      ;29.2;TA Temp C  ;29.8;TG Temp C  ;23.5;WET Temp C ;21.3;DP Temp C  
23;24/05/2006;09:20:32;25.2;WBGT Temp C;62.1;%RH C      ;29;TA Temp C  ;29.9;TG Temp C  ;23.2;WET Temp C ;21;DP Temp C  
24;24/05/2006;09:21:32;25.3;WBGT Temp C;62.3;%RH C      ;29.2;TA Temp C  ;29.9;TG Temp C  ;23.4;WET Temp C ;21.2;DP Temp C  
25;24/05/2006;09:22:32;25.4;WBGT Temp C;62;%RH C      ;29.4;TA Temp C  ;30.1;TG Temp C  ;23.6;WET Temp C ;21.4;DP Temp C  
26;24/05/2006;09:23:32;25.6;WBGT Temp C;61.7;%RH C      ;29.5;TA Temp C  ;30.3;TG Temp C  ;23.6;WET Temp C ;21.4;DP Temp C  
27;24/05/2006;09:24:32;25.3;WBGT Temp C;61.6;%RH C      ;29.2;TA Temp C  ;30.2;TG Temp C  ;23.3;WET Temp C ;21;DP Temp C  
28;24/05/2006;09:25:32;25.2;WBGT Temp C;61.6;%RH C      ;29.1;TA Temp C  ;30.1;TG Temp C  ;23.2;WET Temp C ;20.9;DP Temp C  
29;24/05/2006;09:26:32;25.3;WBGT Temp C;61.7;%RH C      ;29.2;TA Temp C  ;30.1;TG Temp C  ;23.3;WET Temp C ;21;DP Temp C  
30;24/05/2006;09:27:32;25.4;WBGT Temp C;60.3;%RH C      ;29.6;TA Temp C  ;30.3;TG Temp C  ;23.4;WET Temp C ;21;DP Temp C  
31;24/05/2006;09:28:32;25.6;WBGT Temp C;60.2;%RH C      ;29.7;TA Temp C  ;30.5;TG Temp C  ;23.5;WET Temp C ;21.1;DP Temp C  
32;24/05/2006;09:29:32;25.5;WBGT Temp C;60.2;%RH C      ;29.6;TA Temp C  ;30.7;TG Temp C  ;23.4;WET Temp C ;21;DP Temp C  
33;24/05/2006;09:30:32;25.7;WBGT Temp C;59.2;%RH C      ;30;TA Temp C  ;30.9;TG Temp C  ;23.6;WET Temp C ;21.1;DP Temp C  
34;24/05/2006;09:31:32;25.5;WBGT Temp C;59.4;%RH C      ;29.6;TA Temp C  ;31;TG Temp C  ;23.2;WET Temp C ;20.8;DP Temp C  
35;24/05/2006;09:32:32;25.6;WBGT Temp C;59.8;%RH C      ;29.7;TA Temp C  ;31;TG Temp C  ;23.4;WET Temp C ;21;DP Temp C  
36;24/05/2006;09:33:32;25.7;WBGT Temp C;59.7;%RH C      ;29.6;TA Temp C  ;31.1;TG Temp C  ;23.4;WET Temp C ;21;DP Temp C  
37;24/05/2006;09:34:32;25.7;WBGT Temp C;59.7;%RH C      ;29.6;TA Temp C  ;31.1;TG Temp C  ;23.4;WET Temp C ;21;DP Temp C  
38;24/05/2006;09:35:32;25.5;WBGT Temp C;59.4;%RH C      ;29.6;TA Temp C  ;31.1;TG Temp C  ;23.2;WET Temp C ;20.8;DP Temp C  
39;24/05/2006;09:36:32;25.6;WBGT Temp C;60;%RH C      ;29.5;TA Temp C  ;31.1;TG Temp C  ;23.3;WET Temp C ;21;DP Temp C  
40;24/05/2006;09:37:32;25.6;WBGT Temp C;59.5;%RH C      ;29.7;TA Temp C  ;31.2;TG Temp C  ;23.3;WET Temp C ;20.9;DP Temp C  
41;24/05/2006;09:38:32;25.9;WBGT Temp C;59.8;%RH C      ;29.9;TA Temp C  ;31.3;TG Temp C  ;23.6;WET Temp C ;21.2;DP Temp C  
42;24/05/2006;09:39:32;25.8;WBGT Temp C;59;%RH C      ;29.9;TA Temp C  ;31.3;TG Temp C  ;23.5;WET Temp C ;21.1;DP Temp C  
43;24/05/2006;09:40:32;25.9;WBGT Temp C;58.3;%RH C      ;30.1;TA Temp C  ;31.4;TG Temp C  ;23.6;WET Temp C ;21;DP Temp C  
44;24/05/2006;09:41:32;26.1;WBGT Temp C;57.9;%RH C      ;30.5;TA Temp C  ;31.6;TG Temp C  ;23.8;WET Temp C ;21.2;DP Temp C  
45;24/05/2006;09:42:32;26.2;WBGT Temp C;57.1;%RH C      ;30.7;TA Temp C  ;31.8;TG Temp C  ;23.9;WET Temp C ;21.3;DP Temp C  
46;24/05/2006;09:43:32;26;WBGT Temp C;55.6;%RH C      ;30.7;TA Temp C  ;31.9;TG Temp C  ;23.5;WET Temp C ;20.7;DP Temp C  
47;24/05/2006;09:44:32;26;WBGT Temp C;56.3;%RH C      ;30.6;TA Temp C  ;31.9;TG Temp C  ;23.6;WET Temp C ;20.9;DP Temp C  
48;24/05/2006;09:45:32;26.1;WBGT Temp C;57.1;%RH C      ;30.5;TA Temp C  ;32;TG Temp C  ;23.6;WET Temp C ;21;DP Temp C  
